Tool,Total Issues (A excl),Files Analyzed,Issues per File,implementation,display_name
bandit,0,0,0.0,claude_code_with_tuning,Claude Code (Tuned)
ruff,70,6,11.666666666666666,claude_code_with_tuning,Claude Code (Tuned)
mypy,40,6,6.666666666666667,claude_code_with_tuning,Claude Code (Tuned)
radon_cc,11,5,2.2,claude_code_with_tuning,Claude Code (Tuned)
radon_mi,0,0,0.0,claude_code_with_tuning,Claude Code (Tuned)
flake8_wps,57,7,8.142857142857142,claude_code_with_tuning,Claude Code (Tuned)
vulture,10,4,2.5,claude_code_with_tuning,Claude Code (Tuned)
bandit,0,0,0.0,claude_code_no_tuning,Claude Code (Basic)
ruff,269,7,38.42857142857143,claude_code_no_tuning,Claude Code (Basic)
mypy,113,8,14.125,claude_code_no_tuning,Claude Code (Basic)
radon_cc,11,5,2.2,claude_code_no_tuning,Claude Code (Basic)
radon_mi,0,0,0.0,claude_code_no_tuning,Claude Code (Basic)
flake8_wps,190,8,23.75,claude_code_no_tuning,Claude Code (Basic)
vulture,29,4,7.25,claude_code_no_tuning,Claude Code (Basic)
bandit,0,0,0.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
ruff,14,5,2.8,copilot_gpt_with_tuning,Copilot GPT (Tuned)
mypy,13,5,2.6,copilot_gpt_with_tuning,Copilot GPT (Tuned)
radon_cc,0,0,0.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
radon_mi,0,0,0.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
flake8_wps,19,5,3.8,copilot_gpt_with_tuning,Copilot GPT (Tuned)
vulture,2,2,1.0,copilot_gpt_with_tuning,Copilot GPT (Tuned)
bandit,3,2,1.5,copilot_gpt_no_tuning,Copilot GPT (Basic)
ruff,84,5,16.8,copilot_gpt_no_tuning,Copilot GPT (Basic)
mypy,22,4,5.5,copilot_gpt_no_tuning,Copilot GPT (Basic)
radon_cc,3,1,3.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
radon_mi,0,0,0.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
flake8_wps,61,5,12.2,copilot_gpt_no_tuning,Copilot GPT (Basic)
vulture,3,3,1.0,copilot_gpt_no_tuning,Copilot GPT (Basic)
bandit,1,1,1.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
ruff,130,5,26.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
mypy,31,5,6.2,copilot_claude_with_tuning,Copilot Claude (Tuned)
radon_cc,9,3,3.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
radon_mi,0,0,0.0,copilot_claude_with_tuning,Copilot Claude (Tuned)
flake8_wps,185,6,30.833333333333332,copilot_claude_with_tuning,Copilot Claude (Tuned)
vulture,10,3,3.3333333333333335,copilot_claude_with_tuning,Copilot Claude (Tuned)
bandit,0,0,0.0,copilot_claude_no_tuning,Copilot Claude (Basic)
ruff,145,8,18.125,copilot_claude_no_tuning,Copilot Claude (Basic)
mypy,54,7,7.714285714285714,copilot_claude_no_tuning,Copilot Claude (Basic)
radon_cc,2,2,1.0,copilot_claude_no_tuning,Copilot Claude (Basic)
radon_mi,0,0,0.0,copilot_claude_no_tuning,Copilot Claude (Basic)
flake8_wps,143,8,17.875,copilot_claude_no_tuning,Copilot Claude (Basic)
vulture,13,6,2.1666666666666665,copilot_claude_no_tuning,Copilot Claude (Basic)
